IC,YEAR,IPID
NIMH,2023,131265
NIMH,2023,131233
NIMH,2023,131292
NIMH,2023,131273
NIMH,2023,131229
NIMH,2023,131296
NIMH,2023,131279
NIMH,2023,131214
NIMH,2023,131267
NIMH,2023,131280
NIMH,2023,131293
NIMH,2023,131301
NIMH,2023,132649
NIMH,2023,131286
NIMH,2023,131246
NIMH,2023,131256
NIMH,2023,131263
NIMH,2023,132853
NIMH,2023,133329
NIMH,2023,131216
NIMH,2023,131276
NIMH,2023,131253
NIMH,2023,131294
NIMH,2023,131232
NIMH,2023,131260
NIMH,2023,131217
NIMH,2023,132969
NIMH,2023,131289
NIMH,2023,131284
NIMH,2023,131245
NIMH,2023,131252
NIMH,2023,131224
NIMH,2023,131282
NIMH,2023,131291
NIMH,2023,131266
NIMH,2023,131222
NIMH,2023,131271
NIMH,2023,131215
NIMH,2023,131261
NIMH,2023,131287
NIMH,2023,131241
NIMH,2023,131220
NIMH,2023,131244
NIMH,2023,131299
NIMH,2023,131290
NIMH,2023,131228
NIMH,2023,131270
NIMH,2023,131262
NIMH,2023,131247
NIMH,2023,131242
NIMH,2023,131237
NIMH,2023,131281
NIMH,2023,131230
NIMH,2023,131258
NIMH,2023,131297
NIMH,2023,131255
NIMH,2023,132850
NIMH,2023,131227
NIMH,2023,131236
NIMH,2023,131221
NIMH,2023,131235
NIMH,2023,131249
NIMH,2023,131231
NIMH,2023,131250
NIMH,2023,131285
NIMH,2023,131248
NIMH,2023,131295
NIMH,2023,131274
NIMH,2023,131268
NIMH,2023,131257
NIMH,2023,131226
NIMH,2023,131239
NIMH,2023,132851
NIMH,2023,132852
NIMH,2023,131278
NIMH,2023,131275
NIMH,2023,131288
NIMH,2023,131225
NIMH,2023,131243
NIMH,2023,131251
NIMH,2023,131234
NIMH,2023,131277
NIMH,2023,131264
NIMH,2023,131269
NIMH,2023,131240
NIMH,2023,131254
NIMH,2023,131259
NIMH,2023,131238
