PI,PMID,DOI,PROJECT
"Alex Martin, PhD",36257690,10.1523/JNEUROSCI.1229-22.2022,MH002920-15
"Alex Martin, PhD",37002277,10.1038/s41598-023-32249-5,MH002920-15
"Elisabeth Adams Murray, PhD",36319119,10.1523/JNEUROSCI.0925-22.2022,MH002887-17
"Elisabeth Adams Murray, PhD",35654604,10.1523/JNEUROSCI.0794-21.2022,MH002887-17
"Elisabeth Adams Murray, PhD",37141014,10.1037/bne0000558,MH002887-17
"Melissa A Brotman, PhD, BA",35917843,10.1016/j.jaac.2022.07.009,MH002969-05
"Melissa A Brotman, PhD, BA",36325887,10.1002/da.23293,MH002969-05
"Melissa A Brotman, PhD, BA",35358745,10.1016/j.bpsc.2022.03.007,MH002969-05
"Melissa A Brotman, PhD, BA",37327955,10.1016/j.neuroimage.2023.120224,MH002969-05
"Melissa A Brotman, PhD, BA",35944754,10.1016/j.jaac.2022.05.014,MH002969-05
"Melissa A Brotman, PhD, BA",37030330,10.1016/j.jad.2023.03.091,MH002969-05
"Melissa A Brotman, PhD, BA",37431391,10.1002/jcv2.12084,MH002969-05
"Melissa A Brotman, PhD, BA",37062362,10.1016/j.bpsc.2023.03.013,MH002969-05
"Melissa A Brotman, PhD, BA",37359142,10.1016/j.jaacop.2023.03.003,MH002969-05
"Melissa A Brotman, PhD, BA",36287532,10.1001/jamapsychiatry.2022.3483,MH002969-05
"Melissa A Brotman, PhD, BA",36977629,10.1111/jcpp.13794,MH002969-05
"Peter J Schmidt, MD",36782063,10.1038/s41380-023-01985-5,MH002865-18
"Peter J Schmidt, MD",37372414,10.3390/genes14061234,MH002865-18
"Francis Joseph McMahon, MD",36932057,10.1038/s41398-023-02392-8,MH002810-21
"David A Leopold, PhD",35263138,10.1126/sciadv.abm2054,MH002896-17
"David A Leopold, PhD",36044550,10.1073/pnas.2206559119,MH002896-17
"Francis Joseph McMahon, MD",35505515,10.1192/bjp.2022.55,MH002843-20
"Francis Joseph McMahon, MD",35225756,10.1192/bjp.2022.28,MH002843-20
"Francis Joseph McMahon, MD",36882501,10.1038/s41380-023-02014-1,MH002843-20
"Francis Joseph McMahon, MD",35048876,10.1192/bjp.2021.102,MH002843-20
"Francis Joseph McMahon, MD",35817769,10.1038/s41398-022-02037-2,MH002843-20
"Francisco Pereira, PhD",37497043,10.3389/fnhum.2023.1134012,MH002968-06
"Francisco Pereira, PhD",36849591,10.1038/s41562-023-01519-7,MH002968-06
"Francisco Pereira, PhD",36781221,10.1523/JNEUROSCI.0267-22.2023,MH002968-06
"Francisco Pereira, PhD",36714202,10.3389/frai.2022.1051724,MH002968-06
"Francisco Pereira, PhD",35584788,10.1093/cercor/bhac205,MH002968-06
"Francisco Pereira, PhD",,10.52294/001c.85074,MH002968-06
"Francisco Pereira, PhD",36525362,10.2196/40899,MH002968-06
"Karen F Berman, MD",34820293,10.1016/j.scog.2021.100223,MH002652-31
"Karen F Berman, MD",34762337,10.1002/mds.28852,MH002652-31
"Karen F Berman, MD",35922549,10.1038/s41386-022-01396-0,MH002652-31
"Karen F Berman, MD",34487600,10.1002/ajmg.b.32872,MH002652-31
"Karen F Berman, MD",33712377,10.1016/j.bpsc.2020.12.006,MH002652-31
"Karen F Berman, MD",35017298,10.1073/pnas.2109395119,MH002652-31
"Karen F Berman, MD",36772948,10.1093/schbul/sbac178,MH002652-31
"Victor W Pike, PhD",37082755,10.1021/acsptsci.3c00003,MH002793-22
"Victor W Pike, PhD",34766247,10.1007/s11307-021-01675-0,MH002793-22
"Victor W Pike, PhD",37017827,10.1186/s13550-023-00975-6,MH002793-22
"Victor W Pike, PhD",36608175,10.1021/acs.jmedchem.2c01745,MH002793-22
"Victor W Pike, PhD",35649646,10.2967/jnumed.121.263199,MH002793-22
"Victor W Pike, PhD",35798558,10.2967/jnumed.122.264061,MH002793-22
"Victor W Pike, PhD",35027372,10.2967/jnumed.121.263168,MH002793-22
"Victor W Pike, PhD",35996540,10.1021/acsmeasuresciau.2c00018,MH002793-22
"Victor W Pike, PhD",35209743,10.1177/0271678X221084416,MH002793-22
"Victor W Pike, PhD",36652272,10.1002/chem.202204004,MH002793-22
"Victor W Pike, PhD",35352645,10.2174/0929867329666220329204054,MH002793-22
"Victor W Pike, PhD",35772961,10.2967/jnumed.122.263838,MH002793-22
"Victor W Pike, PhD",37249618,10.1007/s00259-023-06270-9,MH002793-22
"Dietmar Plenz, PhD",37137888,10.1038/s41467-023-37976-x,MH002797-22
"Dietmar Plenz, PhD",36976252,10.7554/eLife.81982,MH002797-22
"Carlos Alberto Zarate, MD",35768639,10.1038/s41380-022-01673-w,MH002857-19
"Carlos Alberto Zarate, MD",35732692,10.1038/s41380-022-01666-9,MH002857-19
"Carlos Alberto Zarate, MD",35194167,10.1038/s41380-022-01480-3,MH002857-19
"Carlos Alberto Zarate, MD",32725849,10.1002/hbm.25098,MH002857-19
