IC,YEAR,IPID
NIMH,2022,127301
NIMH,2022,127259
NIMH,2022,127333
NIMH,2022,127285
NIMH,2022,127332
NIMH,2022,127279
NIMH,2022,127251
NIMH,2022,127248
NIMH,2022,127290
NIMH,2022,127274
NIMH,2022,127326
NIMH,2022,127331
NIMH,2022,127309
NIMH,2022,127262
NIMH,2022,127327
NIMH,2022,127270
NIMH,2022,127272
NIMH,2022,127277
NIMH,2022,127305
NIMH,2022,127256
NIMH,2022,127307
NIMH,2022,127247
NIMH,2022,127289
NIMH,2022,127287
NIMH,2022,127288
NIMH,2022,127275
NIMH,2022,127306
NIMH,2022,127271
NIMH,2022,127257
NIMH,2022,127313
NIMH,2022,127303
NIMH,2022,127278
NIMH,2022,127293
NIMH,2022,127284
NIMH,2022,127329
NIMH,2022,127316
NIMH,2022,127260
NIMH,2022,127264
NIMH,2022,127295
NIMH,2022,127263
NIMH,2022,127253
NIMH,2022,127292
NIMH,2022,127323
NIMH,2022,127322
NIMH,2022,127338
NIMH,2022,127269
NIMH,2022,127315
NIMH,2022,127283
NIMH,2022,127268
NIMH,2022,127299
NIMH,2022,127291
NIMH,2022,127298
NIMH,2022,127265
NIMH,2022,127310
NIMH,2022,127258
NIMH,2022,127334
NIMH,2022,127330
NIMH,2022,127273
NIMH,2022,127294
NIMH,2022,127280
NIMH,2022,127810
NIMH,2022,127249
NIMH,2022,127325
NIMH,2022,127304
NIMH,2022,127335
NIMH,2022,127319
NIMH,2022,127314
NIMH,2022,127297
NIMH,2022,127266
NIMH,2022,127320
NIMH,2022,127302
NIMH,2022,127250
NIMH,2022,127317
NIMH,2022,127254
NIMH,2022,127336
NIMH,2022,127324
NIMH,2022,127281
NIMH,2022,127296
NIMH,2022,127261
NIMH,2022,127318
NIMH,2022,127312
NIMH,2022,127286
NIMH,2022,127267
NIMH,2022,127311
NIMH,2022,127276
NIMH,2022,127328
NIMH,2022,127321
NIMH,2022,127339
CC,2022,128647
CC,2022,124365
CC,2022,128689
CC,2022,124476
CC,2022,124436
CC,2022,124407
CC,2022,128707
CC,2022,124373
CC,2022,124468
CC,2022,124470
