IPID,PI,PMID,DOI,PROJECT
127301.0,"Alex Martin, PhD",34008916.0,10.1002/aur.2540,MH002920-14
127301.0,"Alex Martin, PhD",35701489.0,10.1038/s41598-022-13437-1,MH002920-14
127301.0,"Alex Martin, PhD",35210175.0,10.1016/j.tics.2022.01.008,MH002920-14
127259.0,"Peter J Schmidt, MD",34097071.0,10.1210/clinem/dgab407,MH002537-33
127259.0,"Peter J Schmidt, MD",32788687.0,10.1038/s41380-020-00860-x,MH002537-33
127259.0,"Peter J Schmidt, MD",35777494.0,10.1016/j.jad.2022.06.078,MH002537-33
127259.0,"Peter J Schmidt, MD",33470755.0,10.1097/GME.0000000000001724,MH002537-33
127333.0,"Hugo Alejandro Tejeda, PhD",33754230.0,10.1007/164_2021_433,MH002970-04
127333.0,"Hugo Alejandro Tejeda, PhD",35800635.0,10.3389/fncir.2022.796443,MH002970-04
127333.0,"Hugo Alejandro Tejeda, PhD",33527411.0,10.1002/jnr.24796,MH002970-04
127333.0,"Hugo Alejandro Tejeda, PhD",33836219.0,10.1016/j.pbb.2021.173186,MH002970-04
127333.0,"Hugo Alejandro Tejeda, PhD",35687680.0,10.1126/sciadv.abn3567,MH002970-04
127285.0,"Elisabeth Adams Murray, PhD",35654604.0,10.1523/JNEUROSCI.0794-21.2022,MH002887-16
127285.0,"Elisabeth Adams Murray, PhD",34446829.0,10.1038/s41386-021-01128-w,MH002887-16
127332.0,"Melissa A Brotman, PhD",34147585.0,10.1016/j.jaac.2021.05.022,MH002969-04
127332.0,"Melissa A Brotman, PhD",34086728.0,10.1371/journal.pone.0252245,MH002969-04
127332.0,"Melissa A Brotman, PhD",33975068.0,10.1016/j.jpsychires.2021.04.036,MH002969-04
127332.0,"Melissa A Brotman, PhD",33440203.0,10.1016/j.jaac.2020.11.022,MH002969-04
127332.0,"Melissa A Brotman, PhD",33095373.0,10.1007/s10802-020-00712-w,MH002969-04
127332.0,"Melissa A Brotman, PhD",32787994.0,10.1017/S0033291720000501,MH002969-04
127332.0,"Melissa A Brotman, PhD",35917843.0,10.1016/j.jaac.2022.07.009,MH002969-04
127332.0,"Melissa A Brotman, PhD",35358745.0,10.1016/j.bpsc.2022.03.007,MH002969-04
127332.0,"Melissa A Brotman, PhD",34688897.0,10.1016/j.neuroimage.2021.118647,MH002969-04
127332.0,"Melissa A Brotman, PhD",34906711.0,10.1016/j.neuroimage.2021.118786,MH002969-04
127332.0,"Melissa A Brotman, PhD",35794298.0,10.1007/s10578-022-01382-z,MH002969-04
